iter	Passed	Remaining
0	57	57266
1	57	28745
2	57	19234
3	58	14480
4	58	11624
5	58	9722
6	58	8364
7	59	7346
8	59	6553
9	59	5920
10	60	5400
11	60	4968
12	60	4601
13	60	4287
14	61	4016
15	61	3777
16	61	3567
17	61	3379
18	62	3212
19	62	3061
20	62	2924
21	62	2800
22	63	2686
23	63	2584
24	63	2488
25	64	2400
26	64	2318
27	64	2243
28	64	2172
29	65	2106
30	65	2045
31	65	1986
32	65	1931
33	66	1880
34	66	1831
35	66	1785
36	66	1742
37	67	1701
38	67	1662
39	67	1625
40	67	1589
41	68	1555
42	68	1524
43	68	1493
44	68	1463
45	69	1435
46	69	1408
47	69	1382
48	69	1357
49	70	1333
50	70	1311
51	70	1288
52	70	1267
53	71	1246
54	71	1227
55	71	1208
56	71	1190
57	72	1172
58	72	1155
59	72	1138
60	72	1122
61	73	1107
62	73	1091
63	73	1077
64	73	1063
65	74	1049
66	74	1036
67	74	1024
68	74	1010
69	75	998
70	75	986
71	75	974
72	75	962
73	76	951
74	76	940
75	76	930
76	76	920
77	76	909
78	77	900
79	77	890
80	77	881
81	77	872
82	77	861
83	78	852
84	78	844
85	78	836
86	78	828
87	79	820
88	79	812
89	79	804
90	79	797
91	80	790
92	80	783
93	80	776
94	80	769
95	81	763
96	81	756
97	81	750
98	81	743
99	81	737
100	82	731
101	82	725
102	82	719
103	82	713
104	83	707
105	83	702
106	83	696
107	83	691
108	83	686
109	84	680
110	84	675
111	84	670
112	84	665
113	85	660
114	85	656
115	85	651
116	85	645
117	85	641
118	86	637
119	86	632
120	86	628
121	86	623
122	86	619
123	87	616
124	87	612
125	87	608
126	87	603
127	88	600
128	88	596
129	88	592
130	88	589
131	89	585
132	89	582
133	89	578
134	89	575
135	90	572
136	90	569
137	90	565
138	90	563
139	91	560
140	91	557
141	91	553
142	91	550
143	92	548
144	92	545
145	92	542
146	92	539
147	93	536
148	93	533
149	93	530
150	93	527
151	94	524
152	94	521
153	94	519
154	94	516
155	94	513
156	95	510
157	95	508
158	95	505
159	95	502
160	95	499
161	96	497
162	96	494
163	96	492
164	96	490
165	97	487
166	97	485
167	97	483
168	97	481
169	98	479
170	98	477
171	98	474
172	98	472
173	99	470
174	99	468
175	100	469
176	100	467
177	100	465
178	100	463
179	101	461
180	101	458
181	101	456
182	101	454
183	102	453
184	102	451
185	102	449
186	102	447
187	103	445
188	103	443
189	103	441
190	103	439
191	104	437
192	104	436
193	104	434
194	104	432
195	105	431
196	105	429
197	105	427
198	105	426
199	106	424
200	106	422
201	106	421
202	106	419
203	107	418
204	107	416
205	107	415
206	107	413
207	108	411
208	108	410
209	108	408
210	108	406
211	109	405
212	109	404
213	109	402
214	109	401
215	110	399
216	110	398
217	110	396
218	110	395
219	111	394
220	111	392
221	111	391
222	111	389
223	112	388
224	112	386
225	112	385
226	112	384
227	112	382
228	113	381
229	113	379
230	113	378
231	113	377
232	114	375
233	114	374
234	114	373
235	114	371
236	115	370
237	115	369
238	115	368
239	115	366
240	116	365
241	116	364
242	116	362
243	116	361
244	116	360
245	117	359
246	117	358
247	117	356
248	117	355
249	118	354
250	118	353
251	118	352
252	118	350
253	119	349
254	119	348
255	119	347
256	119	346
257	120	345
258	120	344
259	120	343
260	120	341
261	120	340
262	121	339
263	121	338
264	121	337
265	121	336
266	122	335
267	122	334
268	122	333
269	122	332
270	123	331
271	123	330
272	123	329
273	123	327
274	124	326
275	124	325
276	124	324
277	124	323
278	124	322
279	125	321
280	125	320
281	125	319
282	125	318
283	125	317
284	126	316
285	126	315
286	126	314
287	126	313
288	127	312
289	127	311
290	127	310
291	127	309
292	127	308
293	128	307
294	128	306
295	128	305
296	128	305
297	129	304
298	129	303
299	129	302
300	129	301
301	130	300
302	130	299
303	130	298
304	130	297
305	130	296
306	131	295
307	131	294
308	131	294
309	131	293
310	131	292
311	132	291
312	132	290
313	132	289
314	132	288
315	133	288
316	133	287
317	133	286
318	133	285
319	134	284
320	134	284
321	134	283
322	134	282
323	134	281
324	135	280
325	135	280
326	135	279
327	136	278
328	136	277
329	136	277
330	136	276
331	136	275
332	137	274
333	137	273
334	137	272
335	137	272
336	137	271
337	138	270
338	138	269
339	138	268
340	138	268
341	138	267
342	139	266
343	139	265
344	139	265
345	139	264
346	140	263
347	140	262
348	140	261
349	140	261
350	140	260
351	141	259
352	141	258
353	141	258
354	141	257
355	141	256
356	142	255
357	142	255
358	142	254
359	142	253
360	142	252
361	143	252
362	143	251
363	143	250
364	143	250
365	143	249
366	144	248
367	144	248
368	144	247
369	145	246
370	145	246
371	145	245
372	145	245
373	145	244
374	146	243
375	146	242
376	146	242
377	146	241
378	147	240
379	147	240
380	147	239
381	147	238
382	147	238
383	148	237
384	148	236
385	148	236
386	148	235
387	149	235
388	149	234
389	149	233
390	149	233
391	150	232
392	150	232
393	150	231
394	150	231
395	151	230
396	151	229
397	151	229
398	151	228
399	151	227
400	152	227
401	152	226
402	152	226
403	152	225
404	153	224
405	153	224
406	153	223
407	153	223
408	154	222
409	154	222
410	154	221
411	155	221
412	155	220
413	155	220
414	155	219
415	155	218
416	156	218
417	156	217
418	156	217
419	156	216
420	157	215
421	157	215
422	157	214
423	157	214
424	157	213
425	158	213
426	158	212
427	158	211
428	158	211
429	158	210
430	159	210
431	159	209
432	159	208
433	159	208
434	159	207
435	160	207
436	160	206
437	160	206
438	160	205
439	161	204
440	161	204
441	161	203
442	161	203
443	162	202
444	162	202
445	162	201
446	162	201
447	162	200
448	163	200
449	163	199
450	163	199
451	164	199
452	164	198
453	164	198
454	164	197
455	165	197
456	165	196
457	165	196
458	165	195
459	166	195
460	166	194
461	166	193
462	166	193
463	167	192
464	167	192
465	167	191
466	167	191
467	168	191
468	168	190
469	168	190
470	168	189
471	169	189
472	169	188
473	169	188
474	170	188
475	170	187
476	170	187
477	170	186
478	171	186
479	171	185
480	171	185
481	171	184
482	172	184
483	172	183
484	172	183
485	172	182
486	173	182
487	173	181
488	173	181
489	173	180
490	174	180
491	174	180
492	174	179
493	174	179
494	175	178
495	175	178
496	175	177
497	175	177
498	175	176
499	176	176
500	176	175
501	176	175
502	176	174
503	177	174
504	177	173
505	177	173
506	177	172
507	178	172
508	178	171
509	178	171
510	178	171
511	178	170
512	179	170
513	179	169
514	179	169
515	180	168
516	180	168
517	180	167
518	180	167
519	180	167
520	181	166
521	181	166
522	181	165
523	181	165
524	182	164
525	182	164
526	182	163
527	182	163
528	183	163
529	183	162
530	183	162
531	184	161
532	184	161
533	184	161
534	184	160
535	185	160
536	185	159
537	185	159
538	185	158
539	185	158
540	186	157
541	186	157
542	186	157
543	186	156
544	187	156
545	187	155
546	187	155
547	187	155
548	188	154
549	188	154
550	188	153
551	189	153
552	189	153
553	189	152
554	189	152
555	190	151
556	190	151
557	190	150
558	190	150
559	191	150
560	192	150
561	192	149
562	192	149
563	192	149
564	193	148
565	193	148
566	193	147
567	193	147
568	193	146
569	194	146
570	194	146
571	194	145
572	194	145
573	195	144
574	195	144
575	196	144
576	196	144
577	196	143
578	196	143
579	197	142
580	197	142
581	197	141
582	197	141
583	198	141
584	198	140
585	198	140
586	198	139
587	199	139
588	199	139
589	199	138
590	199	138
591	200	137
592	200	137
593	200	137
594	200	136
595	201	136
596	201	135
597	201	135
598	201	135
599	202	134
600	202	134
601	202	133
602	202	133
603	202	133
604	203	132
605	203	132
606	203	131
607	203	131
608	204	131
609	204	130
610	204	130
611	204	129
612	205	129
613	205	129
614	205	128
615	206	128
616	206	128
617	206	127
618	207	127
619	207	127
620	207	126
621	207	126
622	208	125
623	208	125
624	208	125
625	208	124
626	209	124
627	209	124
628	209	123
629	209	123
630	210	122
631	210	122
632	210	122
633	210	121
634	210	121
635	211	120
636	211	120
637	211	120
638	211	119
639	212	119
640	212	118
641	212	118
642	212	118
643	213	117
644	213	117
645	213	117
646	213	116
647	213	116
648	214	115
649	214	115
650	214	115
651	214	114
652	215	114
653	215	113
654	215	113
655	215	113
656	216	112
657	216	112
658	216	112
659	216	111
660	216	111
661	217	110
662	217	110
663	217	110
664	217	109
665	218	109
666	218	109
667	218	108
668	218	108
669	219	107
670	219	107
671	219	107
672	219	106
673	220	106
674	220	106
675	220	105
676	220	105
677	221	104
678	221	104
679	221	104
680	221	103
681	222	103
682	222	103
683	222	102
684	222	102
685	222	102
686	223	101
687	223	101
688	223	100
689	223	100
690	224	100
691	224	99
692	224	99
693	224	99
694	225	98
695	225	98
696	225	98
697	225	97
698	226	97
699	226	96
700	226	96
701	226	96
702	226	95
703	227	95
704	227	95
705	227	94
706	227	94
707	228	94
708	228	93
709	228	93
710	228	93
711	229	92
712	229	92
713	229	91
714	229	91
715	229	91
716	230	90
717	230	90
718	230	90
719	230	89
720	231	89
721	231	89
722	231	88
723	231	88
724	232	88
725	232	87
726	232	87
727	232	86
728	232	86
729	233	86
730	233	85
731	233	85
732	234	85
733	234	84
734	234	84
735	235	84
736	235	83
737	235	83
738	235	83
739	235	82
740	236	82
741	236	82
742	236	81
743	236	81
744	237	81
745	237	80
746	237	80
747	237	80
748	238	79
749	238	79
750	238	79
751	238	78
752	238	78
753	239	78
754	239	77
755	239	77
756	239	77
757	240	76
758	240	76
759	240	75
760	240	75
761	241	75
762	241	74
763	241	74
764	241	74
765	241	73
766	242	73
767	242	73
768	242	72
769	242	72
770	243	72
771	243	71
772	243	71
773	243	71
774	244	70
775	244	70
776	244	70
777	244	69
778	245	69
779	245	69
780	245	68
781	245	68
782	245	68
783	246	67
784	246	67
785	246	67
786	246	66
787	247	66
788	247	66
789	247	65
790	247	65
791	248	65
792	248	64
793	248	64
794	248	64
795	248	63
796	249	63
797	249	63
798	249	62
799	250	62
800	250	62
801	250	61
802	250	61
803	251	61
804	251	60
805	251	60
806	251	60
807	252	59
808	252	59
809	252	59
810	252	58
811	253	58
812	253	58
813	253	57
814	253	57
815	253	57
816	254	56
817	254	56
818	254	56
819	254	55
820	255	55
821	255	55
822	255	54
823	255	54
824	256	54
825	256	53
826	256	53
827	256	53
828	256	53
829	257	52
830	257	52
831	257	52
832	257	51
833	258	51
834	258	51
835	258	50
836	258	50
837	259	50
838	259	49
839	259	49
840	259	49
841	259	48
842	260	48
843	260	48
844	260	47
845	260	47
846	261	47
847	261	46
848	262	46
849	262	46
850	262	45
851	262	45
852	263	45
853	263	45
854	263	44
855	263	44
856	263	44
857	264	43
858	264	43
859	264	43
860	264	42
861	264	42
862	265	42
863	265	41
864	265	41
865	265	41
866	266	40
867	266	40
