iter	Passed	Remaining
0	29	29194
1	29	14756
2	29	9913
3	30	7499
4	30	6059
5	30	5104
6	31	4409
7	31	3887
8	31	3490
9	31	3164
10	32	2897
11	32	2677
12	32	2492
13	33	2334
14	33	2193
15	33	2070
16	33	1960
17	34	1864
18	34	1776
19	34	1697
20	34	1627
21	35	1565
22	35	1509
23	35	1455
24	36	1404
25	36	1357
26	36	1313
27	36	1273
28	36	1235
29	37	1201
30	37	1168
31	37	1139
32	37	1110
33	38	1083
34	38	1057
35	38	1033
36	38	1011
37	39	990
38	39	971
39	39	952
40	39	933
41	40	916
42	40	911
43	41	896
44	41	881
45	41	868
46	42	856
47	42	842
48	42	828
49	42	816
50	43	803
51	43	791
52	43	780
53	43	769
54	44	758
55	44	748
56	44	738
57	44	729
58	45	722
59	45	714
60	45	705
61	46	696
62	46	688
63	46	680
64	46	674
65	47	666
66	47	659
67	47	652
68	47	645
69	48	638
70	48	632
71	48	625
72	48	619
73	48	613
74	49	608
75	49	602
76	49	597
77	50	591
78	50	587
79	50	581
80	50	576
81	51	571
82	51	565
83	51	560
84	51	555
85	51	551
86	52	546
87	52	542
88	52	538
89	52	534
90	53	531
91	53	526
92	53	522
93	53	519
94	54	515
95	54	511
96	54	507
97	54	503
98	55	500
99	55	497
100	55	493
101	55	492
102	56	488
103	56	485
104	56	482
105	56	479
106	57	476
107	57	473
108	57	470
109	57	467
110	58	464
111	58	461
112	58	459
113	58	457
114	59	454
115	59	451
116	59	449
117	59	446
118	60	444
119	60	442
120	60	440
121	60	437
122	60	434
123	61	432
124	61	430
125	61	427
126	61	425
127	62	423
128	62	421
129	62	419
130	62	417
131	63	415
132	63	413
133	63	411
134	63	409
135	64	407
136	64	405
137	64	403
138	64	401
139	65	399
140	65	398
141	65	395
142	65	393
143	65	392
144	66	390
145	66	388
146	66	387
147	66	385
148	67	384
149	67	382
150	67	381
151	68	379
152	68	377
153	68	376
154	68	374
155	68	373
156	69	371
157	69	369
158	69	368
159	69	366
160	70	364
161	70	363
162	70	361
163	70	360
164	70	359
165	71	357
166	71	356
167	71	354
168	71	353
169	72	352
170	72	350
171	72	349
172	72	348
173	73	346
174	73	345
175	73	343
176	73	342
177	73	341
178	74	340
179	74	339
180	74	337
181	74	336
182	75	335
183	75	334
184	75	333
185	75	331
186	76	330
187	76	329
188	76	328
189	76	327
190	77	326
191	77	325
192	77	324
193	77	323
194	78	322
195	78	321
196	78	320
197	78	319
198	79	318
199	79	317
200	79	316
201	79	315
202	80	314
203	80	313
204	80	312
205	80	311
206	80	310
207	81	309
208	81	308
209	81	308
210	82	307
211	82	306
212	82	305
213	83	305
214	83	304
215	83	303
216	83	302
217	83	301
218	84	300
219	84	299
220	84	298
221	85	297
222	85	297
223	85	296
224	85	295
225	86	294
226	86	293
227	86	293
228	86	292
229	87	291
230	87	290
231	87	289
232	87	288
233	87	287
234	88	286
235	88	285
236	88	285
237	88	284
238	89	283
239	89	282
240	89	282
241	89	281
242	90	280
243	90	279
244	90	278
245	90	278
246	90	277
247	91	276
248	91	275
249	91	275
250	91	274
251	92	273
252	92	272
253	92	271
254	92	271
255	93	270
256	93	269
257	93	268
258	93	268
259	94	267
260	94	266
261	94	266
262	94	265
263	94	264
264	95	263
265	95	263
266	95	262
267	95	261
268	95	260
269	96	260
270	96	259
271	96	258
272	96	258
273	97	257
274	97	257
275	97	256
276	98	256
277	98	255
278	98	254
279	98	254
280	99	253
281	99	252
282	99	252
283	99	251
284	100	251
285	100	250
286	100	249
287	100	249
288	101	248
289	101	248
290	101	247
291	101	246
292	102	246
293	102	246
294	102	246
295	103	246
296	103	245
297	104	245
298	104	244
299	104	243
300	104	243
301	105	242
302	105	242
303	105	241
304	105	240
305	106	240
306	106	239
307	106	239
308	106	238
309	106	238
310	107	237
311	107	236
312	107	236
313	107	235
314	108	235
315	108	234
316	108	233
317	108	233
318	109	232
319	109	232
320	109	231
321	109	231
322	110	231
323	110	230
324	110	230
325	111	229
326	111	229
327	111	228
328	111	228
329	112	227
330	112	227
331	112	226
332	112	225
333	113	225
334	113	224
335	113	224
336	113	223
337	114	223
338	114	222
339	114	222
340	114	221
341	115	221
342	115	221
343	115	220
344	115	220
345	116	219
346	116	219
347	116	218
348	116	218
349	117	217
350	117	217
351	117	216
352	118	216
353	118	216
354	118	215
355	119	215
356	119	214
357	119	214
358	119	213
359	120	213
360	120	212
361	120	212
362	120	211
363	120	211
364	121	210
365	121	210
366	121	209
367	121	209
368	122	208
369	122	208
370	122	207
371	122	207
372	123	206
373	123	206
374	123	205
375	123	205
376	124	205
377	124	204
378	124	203
379	124	203
380	125	203
381	125	202
382	125	202
383	125	201
384	126	201
385	126	200
386	126	200
387	126	199
388	127	199
389	127	198
390	127	198
391	127	198
392	127	197
393	128	197
394	128	196
395	128	196
396	128	195
397	129	195
398	129	195
399	129	194
400	130	194
401	130	193
402	130	193
403	130	192
404	131	192
405	131	192
406	131	191
407	131	191
408	132	190
409	132	190
410	132	189
411	132	189
412	132	188
413	133	188
414	133	188
415	133	187
416	133	187
417	134	186
418	134	186
419	134	185
420	134	185
421	135	185
422	135	184
423	135	184
424	135	183
425	136	183
426	136	182
427	136	182
428	136	182
429	136	181
430	137	181
431	137	180
432	137	180
433	137	179
434	138	179
435	138	179
436	138	178
437	139	178
438	139	178
439	139	177
440	139	177
441	140	177
442	140	176
443	140	176
444	140	175
445	141	175
446	141	175
447	141	174
448	142	174
449	142	173
450	142	173
451	142	173
452	143	172
453	143	172
454	143	172
455	143	171
456	144	171
457	144	170
458	144	170
459	144	170
460	145	169
461	145	169
462	145	168
463	145	168
464	146	168
465	146	167
466	146	167
467	146	166
468	146	166
469	147	166
470	147	165
471	147	165
472	147	164
473	148	164
474	148	163
475	148	163
476	148	163
477	149	162
478	150	163
479	150	162
480	150	162
481	150	162
482	151	161
483	151	161
484	151	161
485	151	160
486	152	160
487	152	159
488	152	159
489	153	159
490	153	159
491	153	158
492	154	158
493	154	158
494	154	157
495	155	157
496	155	157
497	155	157
498	156	156
499	156	156
500	156	156
501	157	155
502	157	155
503	157	155
504	158	154
505	158	154
506	158	154
507	158	153
508	159	153
509	159	153
510	159	152
511	160	152
512	160	152
513	160	151
514	160	151
515	161	151
516	161	150
517	161	150
518	161	149
519	162	149
520	162	149
521	162	149
522	162	148
523	163	148
524	163	147
525	163	147
526	163	147
527	164	146
528	164	146
529	164	146
530	165	145
531	165	145
532	165	145
533	165	144
534	166	144
535	166	144
536	166	143
537	166	143
538	167	142
539	167	142
540	167	142
541	167	141
542	167	141
543	168	140
544	168	140
545	168	140
546	168	139
547	169	139
548	169	139
549	169	138
550	169	138
551	170	138
552	170	137
553	170	137
554	170	136
555	171	136
556	171	136
557	171	135
558	171	135
559	172	135
560	172	134
561	172	134
562	172	134
563	173	133
564	173	133
565	173	133
566	173	132
567	174	132
568	174	132
569	174	131
570	174	131
571	175	130
572	175	130
573	175	130
574	175	130
575	176	129
576	176	129
577	176	128
578	176	128
579	177	128
580	177	127
581	177	127
582	177	127
583	178	126
584	178	126
585	178	126
586	178	125
587	178	125
588	179	125
589	179	124
590	179	124
591	179	124
592	180	124
593	181	123
594	181	123
595	181	123
596	181	122
597	182	122
598	182	122
599	182	121
600	182	121
601	183	121
602	183	120
603	183	120
604	183	120
605	184	119
606	184	119
607	184	119
608	184	118
609	185	118
610	185	118
611	185	117
612	185	117
613	186	117
614	186	116
615	186	116
616	186	116
617	187	115
618	187	115
619	187	115
620	187	114
621	188	114
622	188	114
623	188	113
624	188	113
625	189	112
626	189	112
627	189	112
628	189	111
629	190	111
630	190	111
631	190	110
632	190	110
633	190	110
634	191	109
635	191	109
636	191	109
637	191	108
638	192	108
639	192	108
640	192	107
641	192	107
642	193	107
643	193	106
644	193	106
645	193	106
646	194	105
647	194	105
648	194	105
649	194	104
650	194	104
651	195	104
652	195	103
653	195	103
654	195	103
655	196	102
656	196	102
657	196	102
658	196	101
659	197	101
660	197	101
661	197	100
662	197	100
663	197	100
664	198	99
665	198	99
666	198	99
667	198	98
668	199	98
669	199	98
670	199	97
671	199	97
672	199	97
673	200	96
674	200	96
675	200	96
676	201	95
677	201	95
678	201	95
679	201	94
680	202	94
681	202	94
682	202	94
683	202	93
684	203	93
685	203	93
686	203	92
687	203	92
688	204	92
689	204	91
690	204	91
691	204	91
692	205	90
693	205	90
694	205	90
695	206	89
696	206	89
697	206	89
698	206	89
699	207	88
700	207	88
701	207	88
702	207	87
703	208	87
704	208	87
705	208	86
706	208	86
707	209	86
708	209	85
709	209	85
710	209	85
711	210	84
712	210	84
713	210	84
714	210	83
715	210	83
716	211	83
717	211	83
718	211	82
719	211	82
720	212	82
721	212	81
722	212	81
723	212	81
724	212	80
725	213	80
726	213	80
727	213	79
728	213	79
729	214	79
730	214	78
731	214	78
732	214	78
733	215	77
734	215	77
735	215	77
736	215	77
737	216	76
738	216	76
739	216	76
740	217	75
741	217	75
742	217	75
743	218	75
744	218	74
745	218	74
746	218	74
747	219	73
748	219	73
749	219	73
750	219	72
751	220	72
752	220	72
753	220	72
754	221	71
755	221	71
756	222	71
757	222	71
758	222	70
759	222	70
760	223	70
761	223	69
762	223	69
763	223	69
764	224	68
765	224	68
766	224	68
767	224	67
768	225	67
769	225	67
770	225	66
771	225	66
772	226	66
773	226	66
774	226	65
775	227	65
776	227	65
777	227	64
778	227	64
779	228	64
780	228	64
781	228	63
782	228	63
783	229	63
784	229	62
785	229	62
786	230	62
787	230	61
788	230	61
789	230	61
790	231	61
791	231	60
792	231	60
793	231	60
794	232	59
795	232	59
796	232	59
797	233	58
798	233	58
799	233	58
800	233	58
801	233	57
802	234	57
803	234	57
804	234	56
805	234	56
806	235	56
807	235	55
808	235	55
809	235	55
810	235	54
811	236	54
812	236	54
813	236	54
814	236	53
815	237	53
816	237	53
817	237	52
818	238	52
819	238	52
820	238	52
821	238	51
822	239	51
823	239	51
824	239	50
825	239	50
826	240	50
827	240	49
828	240	49
829	240	49
830	241	49
831	241	48
832	241	48
833	241	48
834	242	47
835	242	47
836	243	47
837	243	47
838	243	46
839	244	46
840	244	46
841	244	45
842	244	45
843	244	45
844	245	44
845	245	44
846	245	44
847	245	44
848	246	43
849	246	43
850	246	43
851	246	42
852	247	42
853	247	42
854	247	42
855	247	41
856	248	41
857	248	41
858	248	40
859	249	40
860	249	40
861	249	39
862	249	39
863	250	39
864	250	39
865	250	38
866	250	38
867	251	38
868	251	37
869	251	37
870	251	37
871	252	37
872	252	36
873	252	36
874	253	36
875	253	35
876	253	35
877	253	35
878	253	34
879	254	34
880	254	34
881	254	34
882	255	33
883	255	33
884	256	33
885	256	32
886	256	32
887	256	32
888	257	32
889	257	31
890	257	31
891	257	31
892	258	30
893	258	30
894	258	30
895	258	30
896	258	29
897	259	29
898	259	29
899	259	28
900	260	28
901	260	28
902	260	27
903	260	27
904	261	27
905	261	27
906	261	26
907	261	26
908	262	26
909	262	25
910	262	25
911	263	25
912	263	25
913	263	24
914	263	24
915	264	24
916	264	23
917	264	23
918	264	23
919	265	23
920	265	22
921	265	22
922	265	22
923	265	21
924	266	21
925	266	21
926	266	21
927	266	20
928	267	20
929	267	20
930	267	19
931	267	19
932	268	19
933	268	18
934	268	18
935	269	18
936	269	18
937	269	17
938	269	17
939	270	17
940	270	16
941	270	16
942	270	16
943	271	16
944	271	15
945	271	15
946	271	15
947	272	14
948	272	14
949	272	14
950	272	14
951	273	13
952	273	13
953	273	13
954	273	12
955	274	12
956	274	12
957	274	12
958	275	11
959	275	11
960	275	11
961	275	10
962	275	10
963	276	10
964	276	10
965	276	9
966	276	9
967	277	9
968	277	8
969	277	8
970	277	8
971	278	8
972	278	7
973	278	7
974	279	7
975	279	6
976	279	6
977	279	6
978	279	6
979	280	5
980	280	5
981	280	5
982	280	4
983	281	4
984	281	4
985	281	4
986	282	3
987	282	3
988	282	3
989	282	2
990	283	2
991	283	2
992	283	2
993	284	1
994	284	1
995	284	1
996	284	0
997	285	0
998	285	0
999	285	0
